RUT;Despacho;Lubricantes;Neumaticos;Repuestos;Servicios
10518399;0;0;0;1;0
10518420;0;0;0,21;0,79;0
10518566;0;0,08;0,12;0,79;0
10519045;0;0;0,09;0,91;0
10519556;0;0,17;0,5;0,33;0
10519604;0;0;0;0;1
10519652;0;0;0,33;0;0,67
10519837;0;0;0;0;1
10519957;0;0;0;1;0
10520177;0;0;0;0,05;0,95
10520367;0;0;1;0;0
10520450;0;0;0,4;0;0,6
10520517;0;0,2;0;0;0,8
10520595;0;0;0;0;1
10521248;0;0;1;0;0
10521408;0;0;0,33;0;0,67
10521414;0;0,25;0,01;0,74;0,01
10521567;0;0;0;1;0
10522246;0;0;0;1;0
10522376;0;0;0,57;0,43;0
10522457;0;0;0;0;1
10522517;0;0;0,17;0,83;0
10522592;0;0;1;0;0
10522630;0;0,2;0;0,8;0
10522703;0;0;1;0;0
10522756;0;0;0,62;0,04;0,34
10523029;0;0;0,5;0,17;0,33
10523810;0;0;0;1;0
10523821;0;0;0;1;0
10523836;0;0;0,25;0;0,75
10524097;0;0;1;0;0
10524151;0;0,46;0,07;0,46;0
10524907;0;0,13;0,39;0,3;0,17
10525118;0;0;1;0;0
10525324;0;0;0;0,25;0,75
10525342;0;0;0;1;0
10525789;0;0,44;0;0,56;0
10525931;0;0,07;0,19;0,41;0,33
10526207;0;0;1;0;0
10526246;0;0;0;0;1
10526538;0;0;0,33;0;0,67
10526743;0;0;0;1;0
10526762;0;0;0;1;0
10526860;0;0;1;0;0
10526867;0;0,29;0,29;0,43;0
10527002;0;0;0;1;0
10527192;0;0;0;1;0
10527208;0;0;0;1;0
10527402;0;0,5;0,5;0;0
10527880;0;0,75;0;0,25;0
10528516;0;0;0;1;0
10528564;0;0,43;0,14;0;0,43
10528720;0;0;0;1;0
10528736;0;0;0;1;0
10528759;0;0;0;1;0
10528760;0;0;0;1;0
10528785;0;0;1;0;0
10528832;0;0;0,5;0,5;0
10528928;0;0;0;1;0
10528944;0;1;0;0;0
10528983;0;0;0;0;1
10529089;0;0,33;0;0,67;0
10529192;0;0;0;0;1
10529196;0;0;0;1;0
10529278;0;0;0;1;0
10529539;0;0,25;0,25;0,25;0,25
10529622;0;0;0;1;0
10529630;0;1;0;0;0
10529974;0;0;0;1;0
10530012;0;0;0;0;1
10530017;0;0;0;0;1
10531054;0;0;0,25;0;0,75
10531287;0;0;1;0;0
10531678;0;0,2;0,6;0;0,2
10531917;0;0;0;1;0
10532172;0;0;0,33;0,67;0
10532225;0;0;0;1;0
10532229;0;0;0;0,14;0,86
10532287;0;0;0,07;0;0,93
10532375;0;0;0,43;0;0,57
10532615;0;0;0;0;1
10533399;0;0,2;0;0,8;0
10533515;0;1;0;0;0
10533695;0;0,2;0;0,8;0
10534147;0;0,41;0;0,59;0
10534772;0;0;0;0,33;0,67
10535314;0;0;1;0;0
10535361;0;0;0;0;1
10535616;0;0,11;0;0,89;0
10535685;0;0;0;0;1
10535853;0;0;1;0;0
10536394;0;0;0;1;0
10536431;0;0;0;0;1
10536623;0,5;0;0,5;0;0
10536631;0;1;0;0;0
10537168;0;0,67;0;0,33;0
10537650;0;0;0,25;0;0,75
10537682;0;0;1;0;0
10537703;0;0;0,08;0,92;0
10537708;0;0;0;1;0
10537715;0;0;0,5;0,5;0
10537781;0;0;0,03;0,8;0,17
10537933;0;0;0;1;0
10538001;0;0;1;0;0
10538140;0;0;0;1;0
10538161;0;0;0;1;0
10538431;0;0;0;1;0
10538975;0;0,26;0;0,69;0,06
10539250;0;0;0;0;1
10539387;0;0;0;1;0
10539445;0;0;0,14;0,48;0,38
10540119;0;0;0,25;0,5;0,25
10540129;0;0,43;0,26;0,26;0,04
10540143;0;0;0;0;1
10540192;0;0;0;0;1
10540246;0;0;0,14;0,86;0
10540339;0;0;0;1;0
10540505;0;0;0,4;0;0,6
10540506;0;0;0,25;0;0,75
10540655;0;0;0;1;0
10540674;0;0,33;0;0,67;0
10540885;0;0,09;0,23;0,68;0
10541453;0;0;0,4;0;0,6
10541638;0;0,48;0,43;0,09;0
10541815;0;0;0;0;1
10541957;0;0;0;0;1
10542054;0;0;0,2;0,4;0,4
10542056;0;0,02;0,09;0,89;0
10542083;0;0;0;1;0
10542259;0;0;0,5;0;0,5
10543528;0;0;0;1;0
10543591;0;0;0;0;1
10543697;0;0;0;1;0
10543809;0;0,05;0;0,89;0,05
10543986;0;0;0;1;0
10544137;0;0;0,5;0;0,5
10544458;0;0;0,33;0,67;0
10544786;0;0;0;1;0
10544820;0;0;0;1;0
10545228;0;0;1;0;0
10545310;0;0;0;0;1
10545475;0;0;1;0;0
10545784;0;0;0;0;1
10545902;0;0;0;0;1
10545959;0;0;0;1;0
10547100;0;0,07;0,02;0,9;0
10547291;0;0,22;0;0,78;0
10547447;0;0;0;1;0
10547567;0;0;0;0;1
10547828;0;0;0;1;0
10547883;0;0,2;0;0,8;0
10547932;0;0,25;0,12;0,46;0,17
10547949;0;0;0;1;0
10547984;0;0;0,29;0;0,71
10547985;0;0;0,6;0;0,4
10547986;0;0;0;0;1
10547993;0;1;0;0;0
10548188;0;1;0;0;0
10548202;0;0;0;1;0
10548556;0;0;0;1;0
10548671;0;0;0;1;0
10549065;0;0;0,33;0,22;0,44
10549398;0;0;0;1;0
10549697;0;0;1;0;0
10549777;0;0,13;0,17;0,57;0,13
10549784;0;0,6;0;0,4;0
10550122;0;0;0,25;0,75;0
10550298;0;0;0;1;0
10550419;0;0;0;1;0
10550530;0;0;0;1;0
10550603;0;0;0;1;0
10551293;0;0,2;0;0,8;0
10551488;0;0;0;1;0
10551511;0;0;0;1;0
10551863;0;0;0,25;0;0,75
10551870;0;1;0;0;0
10551951;0;0;0;1;0
10552042;0;0;0,33;0;0,67
10552372;0;0;0;0;1
10552385;0;0;0;0;1
10553064;0;1;0;0;0
10553178;0;0;0,5;0,5;0
10553415;0;1;0;0;0
10553773;0;0;0,08;0,92;0
10554061;0;0;0;0;1
10554437;0;0;0;0;1
10554533;0;0;0;1;0
10554591;0;0;0;1;0
10554606;0;0;0,67;0;0,33
10555295;0;0;0;1;0
10555442;0;0,1;0;0,9;0
10555512;0;0,06;0,19;0,06;0,69
10556240;0;0;0;1;0
10556261;0;0;1;0;0
10556263;0;0;0;1;0
10556325;0;0,18;0,07;0,63;0,11
10556365;0;0;0;0;1
10556380;0;0,16;0,02;0,7;0,12
10556437;0;0,12;0;0,88;0
10556606;0;0;0,25;0;0,75
10557129;0;1;0;0;0
10557791;0;0;0;0;1
10557959;0;0;0,33;0,67;0
10558381;0;0;0,22;0,78;0
10558494;0;0;0;1;0
10558617;0;0,25;0;0;0,75
10558703;0;0;0,33;0;0,67
10558828;0;0;0;1;0
10558951;0;0;0;1;0
10559012;0;0;0;1;0
10559336;0;0;0,33;0,67;0
10559360;0;0;0;0;1
10559376;0;0;0;1;0
10559431;0;0,07;0,21;0,21;0,5
10559442;0;0,1;0,1;0,8;0
10559559;0;0;0;0;1
10559608;0;0;0;0;1
10559688;0;1;0;0;0
10559826;0;0;0;0;1
10559921;0;0;0;1;0
10559938;0;0;0,33;0,67;0
10560004;0;0;0;1;0
10560374;0;0;0,5;0;0,5
10560579;0;0;0;0;1
10560699;0;0;0;1;0
10560803;0;0;0;1;0
10560915;0;0,06;0;0,94;0
10561144;0;0;0;1;0
10561364;0;0;0,33;0;0,67
10561708;0;0;0;1;0
10561709;0;0;0;1;0
10561736;0;0;0;0;1
10561785;0;0;1;0;0
10561887;0;0;0;1;0
10562619;0;0;0,36;0;0,64
10562904;0;0;0;1;0
10562915;0;0;0;1;0
10562941;0;0,25;0;0,75;0
10563077;0;0;0,26;0,16;0,58
10563130;0;0;1;0;0
10563228;0;0;0;0,67;0,33
10563264;0;0;0;0;1
10563286;0;0;0,5;0,5;0
10563814;0;0;0;1;0
10563988;0;0;1;0;0
10563990;0;0;1;0;0
10564050;0;0;0,33;0;0,67
10564127;0;0,07;0;0,93;0
10564354;0;0;1;0;0
10564386;0;1;0;0;0
10564941;0;0;0;1;0
10565086;0;0;0,5;0;0,5
10565350;0;0;0,67;0;0,33
10565404;0;0,25;0;0,75;0
10565541;0;1;0;0;0
10565611;0;0;0,5;0;0,5
10565944;0;0;0,5;0;0,5
10565966;0;0;0;1;0
10566057;0;0;0,33;0;0,67
10566137;0;1;0;0;0
10566191;0;0;0;0;1
10566303;0;0;0;1;0
10566609;0;0;0;0,33;0,67
10566660;0;0;0;0;1
10566714;0;0,33;0;0,67;0
10567006;0;0;0,33;0,67;0
10567120;0;0;0;1;0
10567158;0;0,5;0;0,5;0
10567165;0;0;0,07;0,93;0
10567367;0;0;0;0;1
10567574;0;1;0;0;0
10567823;0;0;0;0,33;0,67
10568210;0;0;0;0;1
10568657;0;0;0,22;0;0,78
10568753;0;0;0;0;1
10569001;0;0,5;0,5;0;0
10569017;0;0,15;0,23;0,38;0,23
10569056;0;0;0;0;1
10569200;0;0,18;0;0,82;0
10569345;0;0,19;0;0,71;0,1
10569443;0;0;0;1;0
10569533;0,5;0;0,5;0;0
10569756;0;0;0,25;0;0,75
10569977;0;0;0;1;0
10570027;0;0;1;0;0
10570039;0;0;0,33;0,67;0
10570088;0;0,25;0;0,75;0
10570673;0;0;1;0;0
10571295;0;1;0;0;0
10571300;0;0,18;0;0,82;0
10571326;0;0;1;0;0
10571374;0;0,02;0,12;0,74;0,12
10571380;0;0;0,2;0;0,8
10571715;0;0;0,27;0,55;0,18
10571750;0;0;0;0;1
10571765;0;0;0;1;0
10571963;0;0;0,57;0,43;0
10572077;0;0,44;0;0,56;0
10572216;0;0;0;1;0
10572219;0;0,14;0;0,86;0
10572284;0;0,04;0;0,96;0
10572590;0;0;0;0;1
10572669;0;1;0;0;0
10572719;0;0;0;1;0
10573124;0;0;0;1;0
10573312;0;0;0,33;0;0,67
10573414;0;0;0;1;0
10573427;0;0;0,33;0,67;0
10573592;0;0;0,25;0,25;0,5
10573652;0;0;0,48;0,52;0
10573845;0;0;0;1;0
10574070;0;0;0;1;0
10574321;0;0;0,33;0;0,67
10574373;0;0;1;0;0
10574698;0;0;0,13;0,87;0
10575032;0;0,11;0,06;0,78;0,06
10575237;0;0;0;1;0
10575954;0;0;0;1;0
10576041;0;0;0;0,8;0,2
10576338;0;0;0;1;0
10576662;0;0;0,25;0;0,75
10577199;0;0;0;0,33;0,67
10577378;0;0,33;0,33;0,33;0
10577486;0;0;0;1;0
10577488;0;0;0,14;0,86;0
10577522;0;0,12;0,23;0,46;0,19
10577573;0;1;0;0;0
10577612;0;0;0;0;1
10577715;0;0,02;0,15;0,49;0,35
10578123;0;0;1;0;0
10578167;0;1;0;0;0
10578361;0;0;0;1;0
10578461;0;0,11;0,22;0,56;0,11
10578513;0;0;0,25;0;0,75
10579185;0;0;1;0;0
10579425;0;0;0,6;0;0,4
10579914;0;0;1;0;0
10580002;0;0;0;1;0
10580022;0;0;0;1;0
10580047;0;0;0;1;0
10580157;0;0;0;1;0
10580228;0;0,26;0,11;0,63;0
10580255;0;0;0;0;1
10580306;0;0;0,27;0,73;0
10580888;0;0;0,71;0,29;0
10581678;0;0;0;0;1
10581999;0;0,5;0,5;0;0
10582063;0;0;0;1;0
10582341;0;0,67;0;0;0,33
10582369;0;0;0;1;0
10582491;0;0;0;0;1
10582580;0;0;0,2;0,33;0,47
10582788;0;0;0;1;0
10582915;0;0;0,07;0,93;0
10582964;0;0;0;0;1
10582969;0;0;0;1;0
10583341;0;1;0;0;0
10583694;0;0,27;0,02;0,66;0,05
10583740;0;0;0,5;0,5;0
10583768;0;0;0;1;0
10583799;0;0;0;0;1
10583898;0;0;0,59;0,18;0,24
10584057;0;0;0;1;0
10584104;0;0,17;0,17;0,5;0,17
10584704;0;0;1;0;0
10584894;0;0;1;0;0
10585074;0,5;0;0;0,5;0
10585152;0;0;0;1;0
10585330;0;1;0;0;0
10585496;0;0;0;1;0
10586250;0;0;1;0;0
10586337;0;0;0;0;1
10586617;0;0;0;0;1
10586788;0;0;0;1;0
10587086;0;0;0;1;0
10587477;0;0;0;1;0
10587484;0;0,08;0,08;0,83;0
10587521;0;0,11;0;0,22;0,67
10587625;0;0;0,29;0;0,71
10587814;0;0;0,6;0,4;0
10588043;0;0;0;0;1
10588703;0;0;0,07;0,87;0,07
10588865;0;0;0;1;0
10589067;0;0;1;0;0
10589294;0;0;0,33;0;0,67
10589296;0;0;0;1;0
10589413;0;0;1;0;0
10589676;0;0;0,5;0;0,5
10589888;0;0;1;0;0
10590771;0;0;0;1;0
10590788;0;0;1;0;0
10590904;0;0;0;1;0
10591152;0;0;0;1;0
10591201;0;0;0;0,5;0,5
10591610;0;0;0;1;0
10591733;0;0;0,25;0;0,75
10592262;0;0,4;0,2;0;0,4
10592281;0;0,22;0,67;0;0,11
10592290;0;0;0,25;0;0,75
10592601;0;0;0;0;1
10593938;0;0;1;0;0
10594126;0;0,02;0,11;0,66;0,2
10594216;0;0;1;0;0
10594369;0;0;0;1;0
10594479;0;0;1;0;0
10594526;0;0;0,4;0;0,6
10594993;0;0;0;1;0
10595034;0;0;0;1;0
10595058;0;0;0;1;0
10595086;0;0,09;0,11;0,5;0,3
10595365;0;0;0;1;0
10595474;0;0;0,23;0,77;0
10595517;0;0;0;0;1
10595602;0;0;0;1;0
10595675;0;0;0;1;0
10595757;0;0;0;1;0
10596005;0;0;0,07;0,43;0,5
10596124;0;1;0;0;0
10596127;0;0;0,12;0;0,88
10596204;0;0;0,57;0,43;0
10596246;0;0;0;1;0
10596473;0;0;0;1;0
10596657;0;0;0,05;0,95;0
10597113;0;0;0;1;0
10597155;0;0;0;1;0
10597551;0;0;0;1;0
10597815;0;0;0;1;0
10597823;0;1;0;0;0
10597860;0;0;0;1;0
10598260;0;0;0,25;0;0,75
10598269;0;0;0;1;0
10598410;0;0;0,5;0;0,5
10598454;0;0;0;1;0
10598485;0;0;0;1;0
10598493;0;0;0,33;0,33;0,33
10598641;0;0;0;1;0
10599396;0;0;0;1;0
10599485;0;0;0;1;0
10600588;0;0;0;0;1
10600891;0;0;0;1;0
10601025;0,5;0;0,5;0;0
10601809;0;0;0,29;0;0,71
10602360;0;0;0,2;0,2;0,6
10602851;0;0;0;0;1
10602893;0;0;0;0,17;0,83
10602974;0;0,33;0,13;0,53;0
10603088;0;0;0,33;0;0,67
10603492;0;0;0;0,17;0,83
10603858;0;0;0,5;0,5;0
10604098;0;0;0;1;0
10604158;0;0;1;0;0
10604565;0;0;0;0;1
10604722;0;0,29;0;0,71;0
10605446;0;0,11;0;0,44;0,44
10605544;0;0;0;1;0
10605632;0;0,5;0,5;0;0
10605849;0;0;0;0;1
10606255;0;0;0,25;0;0,75
10606259;0;0;0,2;0,6;0,2
10606962;0;0;0,5;0;0,5
10607198;0;0;0;1;0
10607356;0;0,83;0;0,17;0
10607856;0;0,11;0,25;0,36;0,29
10608046;0;1;0;0;0
10608149;0;0;1;0;0
10608245;0;0,17;0,17;0,11;0,56
10608316;0;0;0;1;0
10608603;0;0;0;1;0
10608908;0;0,33;0;0,67;0
10609177;0;0;0;1;0
10609684;0;1;0;0;0
10610086;0;0,2;0;0,2;0,6
10610113;0;0;0;0;1
10610115;0;0;0;1;0
10610193;0;0;0,25;0;0,75
10610374;0;0,11;0;0,89;0
10611352;0;0;0,67;0;0,33
10611396;0;0,9;0;0,1;0
10611540;0;0,17;0,83;0;0
10611719;0;0;0,33;0,56;0,11
10612105;0;0,75;0;0,25;0
10612501;0;0;0;0;1
10612516;0;0;0;0;1
10612614;0;0,11;0,22;0,67;0
10612746;0;0,3;0,1;0,5;0,1
10612787;0;0;1;0;0
10613006;0;0;0;0;1
10613362;0;0,31;0,38;0,31;0
10613692;0;0;0,33;0,5;0,17
10614154;0;0;1;0;0
10614878;0;1;0;0;0
10614997;0;0;0;0;1
10616269;0;0;0;0;1
10616329;0;0;0;1;0
10616834;0;0;0,39;0,1;0,52
10616914;0;1;0;0;0
10616929;0;0;0,5;0;0,5
10617156;0;0,08;0;0,92;0
10617316;0;0;0;1;0
10617453;0;0;0,2;0;0,8
10617509;0;0,5;0;0,5;0
10617578;0;0;0;1;0
10617913;0;0;0,11;0,43;0,46
10618498;0;0;0;0;1
10618540;0;0;0;0;1
10618726;0;0,17;0,33;0;0,5
10619016;0;0;1;0;0
10619168;0;0;0;1;0
10619432;0;0,57;0,14;0,07;0,21
10619453;0;0;0,25;0;0,75
10619676;0;0;0;1;0
10619862;0;0;0;0;1
10619972;0;0;0,62;0,38;0
10620303;0;0;0;1;0
10620472;0;0;0,33;0;0,67
10620721;0;0;0;1;0
10620805;0;0;0;1;0
10620910;0;0,21;0,05;0,69;0,05
10620915;0;0;0;1;0
10620935;0;0;0;1;0
10621296;0;0;1;0;0
10621646;0;0;0,04;0,96;0
10621701;0;0;0;1;0
10621715;0;0;0;0;1
10622135;0;0;1;0;0
10622622;0;0,03;0;0,97;0
10622641;0;0;0,25;0;0,75
10622719;0;0,41;0;0,59;0
10622760;0;0;0,4;0,4;0,2
10623056;0;0;0;1;0
10623566;0;0,17;0,08;0,75;0
10623874;0;0;0,29;0;0,71
10623880;0;0,17;0;0,83;0
10624112;0;0;0;1;0
10624527;0;0;0;1;0
10624966;0;0;0;1;0
10625199;0;0;1;0;0
10625825;0;0;0;1;0
10626106;0;0;0;1;0
10626257;0;0;1;0;0
10626914;0;0;0;0;1
10627017;0;0;1;0;0
10627020;0;0;0;1;0
10627615;0;0;1;0;0
10627662;0;0;0,33;0;0,67
10628031;0;0;0,2;0;0,8
10628071;0;0;0;1;0
10628164;0;0,33;0,09;0,07;0,52
10628186;0;0;1;0;0
10628431;0;0;0,25;0;0,75
10628626;0;0,12;0,25;0,63;0
10628874;0;0;0;0;1
10629189;0;0;1;0;0
10629365;0;0,11;0;0,89;0
10629630;0;0;0;1;0
10630186;0;0;0;1;0
10630338;0;0;0;1;0
10630357;0;0;1;0;0
10630577;0;0;0;1;0
10630640;0;0;0,14;0,57;0,29
10630763;0;0;0;0,69;0,31
10630972;0;0;0,75;0,25;0
10631161;0;0;0,5;0;0,5
10631902;0;0,28;0,17;0;0,56
10631915;0;0;0,67;0,33;0
10631949;0;0;0;0,5;0,5
10631970;0;0;0;0;1
10633423;0;0;0;1;0
10633441;0;0;0,25;0;0,75
10633449;0;0;0;0;1
10633490;0;0;0,6;0,4;0
10634256;0;0;0,5;0;0,5
10634421;0;0,4;0,2;0,4;0
10634970;0;0;0;1;0
10635245;0;0;0;0;1
10635287;0;0;0;1;0
10635491;0;0,18;0;0,82;0
10636596;0;0;0,06;0,06;0,88
10637126;0;0;1;0;0
10637852;0;0,36;0;0,6;0,04
10637903;0;0,2;0,6;0,2;0
10637998;0;0;1;0;0
10638524;0;0;0;0;1
10638525;0;0;1;0;0
10638684;0;0,08;0,06;0,86;0
10638686;0;0;1;0;0
10638843;0;0;0,25;0,75;0
10639104;0;0;1;0;0
10639281;0;0;0,25;0,17;0,58
10639392;0;0;0;0;1
10640130;0;0;0;0;1
10640142;0;0;0;0;1
10640165;0;0;0;1;0
10640475;0;0;0;0;1
10640888;0;0;0,6;0;0,4
10641258;0;0;0;0;1
10641262;0;0;0;0;1
10641281;0;0;0;0;1
10641299;0;0;0;1;0
10642497;0;0;0;1;0
10642782;0;0;0;1;0
10642786;0;0;0;0;1
10642882;0;0;0;1;0
10643404;0,5;0;0,5;0;0
10643422;0;0;0;1;0
10643428;0;0;0,97;0,03;0
10643443;0;0;0;1;0
10643919;0;0;0,33;0;0,67
10643926;0;1;0;0;0
10643962;0;0;0;1;0
10644156;0;0;0,17;0,17;0,67
10644171;0;0,03;0,03;0,94;0
10644451;0;1;0;0;0
10644458;0;0;0;0;1
10644653;0;0;0,25;0;0,75
10645304;0;0;0;0;1
10645467;0;0;1;0;0
10645469;0;0;0,33;0;0,67
10645737;0;0;0;0,08;0,92
10645751;0;0,06;0,31;0,09;0,54
10645940;0;0;1;0;0
10646105;0;0;0;0;1
10646113;0;0;0;1;0
10646737;0;0;0,5;0;0,5
10646758;0;0;0,71;0,29;0
10646914;0;0,5;0;0,5;0
10647139;0;0;0;1;0
10647636;0;0;0;1;0
10647794;0;0,22;0;0,78;0
10647841;0;0;0;0;1
10648285;0;0;0;1;0
10648359;0;0;0;1;0
10648851;0;0;0;0,73;0,27
10648874;0;0;0,12;0,39;0,49
10649667;0;0;0,25;0;0,75
10649763;0;1;0;0;0
10649953;0;0;0;0;1
10650437;0;0;1;0;0
10650444;0;0;0;1;0
10650969;0;0;0;1;0
10651216;0;0;0;0;1
10651553;0;0;0;0;1
10651627;0;0;0;1;0
10651911;0;0;0;1;0
10652228;0;0;0;1;0
10652462;0;0;0;0;1
10652957;0;0;0,17;0,17;0,67
10652992;0;0;1;0;0
10653189;0;0,18;0,45;0,09;0,27
10653240;0;0;0,33;0;0,67
10653272;0;0;0;1;0
10653512;0;0;0,25;0;0,75
10653541;0,5;0;0;0,5;0
10653745;0;0;0;0;1
10653782;0;0;1;0;0
10653841;0;0;0;0;1
10653991;0;0,15;0,02;0,75;0,07
10653994;0;0;0;1;0
10654177;0;0;0;1;0
10654884;0;0,17;0,17;0,46;0,2
10655113;0;0;0;1;0
10655122;0;0,12;0,15;0,63;0,09
10655132;0;0;0;0;1
10655181;0;0;0;0;1
10656568;0;0;0,25;0;0,75
10656712;0;0;0;1;0
10657162;0;0;1;0;0
10658022;0;0;0;1;0
10658278;0;0;0,4;0;0,6
10658315;0;0,12;0;0,88;0
10658553;0;1;0;0;0
10658638;0;0;0;0;1
10658861;0;0;0;1;0
10658931;0;0,09;0,56;0,35;0
10659136;0;0,42;0,33;0,25;0
10659400;0;0;0,4;0;0,6
10659500;0;0;1;0;0
10659611;0;0;0;1;0
10659676;0;0;0;1;0
10659705;0;0;0;0;1
10659940;0;0;0;1;0
10660228;0;0;0;1;0
10660243;0;0;1;0;0
10660945;0;0,33;0;0,67;0
10661098;0;0;0;1;0
10661153;0;0;0,5;0;0,5
10661335;0;0;0;1;0
10661357;0;0;0;1;0
10661887;0;0;0;1;0
10661937;0;0,43;0;0,29;0,29
10662007;0;1;0;0;0
10662147;0;0;0,1;0,2;0,7
10662513;0;0;0,25;0;0,75
10662626;0;0;0;1;0
10662647;0;0;0;0;1
10662652;0;1;0;0;0
10662799;0;0;0;1;0
10663066;0;0;1;0;0
10663106;0;0;0,33;0;0,67
10663155;0;0,75;0;0,25;0
10663158;0;0;1;0;0
10663321;0;0;0,09;0,22;0,7
10663605;0;0;0;0;1
10663643;0;0;1;0;0
10663652;0;0,87;0;0,13;0
10663667;0;0,25;0;0,75;0
10663679;0;0;0;0,5;0,5
10663709;0;0;0;1;0
10664121;0;0,21;0,07;0,64;0,07
10664202;0;0,62;0;0,38;0
10664361;0;0;0;0;1
10664431;0;0,06;0,11;0,17;0,67
10664645;0;0;0;0;1
10664925;0;0;0;1;0
10665090;0;1;0;0;0
10665137;0;0;0;0,25;0,75
10665144;0;0;0;1;0
10665963;0;0;0,25;0,25;0,5
10666048;0;0,72;0,09;0,19;0
10667019;0;0,67;0;0,33;0
10667077;0;0;0,33;0,17;0,5
10667163;0;0;0;1;0
10668068;0;0;0,5;0,5;0
10668244;0;0;0,33;0;0,67
10668253;0;0;0,27;0,36;0,36
10668404;0;0;0,2;0;0,8
10669118;0;0;0,5;0,5;0
10669122;0;0;0;0;1
10669207;0;0;0,44;0;0,56
10669415;0;1;0;0;0
10670413;0;0;0,4;0,6;0
10670806;0;0,45;0;0;0,55
10671082;0;0;0;1;0
10671111;0;0;0;1;0
10671216;0;0,38;0;0,62;0
10671403;0;0;0;0;1
10671459;0;0;0,29;0;0,71
10672218;0;0;0;1;0
10672270;0;0,25;0,25;0,5;0
10672535;0;0;1;0;0
10672964;0;0;1;0;0
10673197;0;0;0,81;0,06;0,14
10673838;0;0;1;0;0
10673983;0;0;0;0;1
10674366;0;0;0;1;0
10674989;0;0;0;0;1
10675125;0;0;0;1;0
10675320;0;0;0;1;0
10675434;0;0;0;1;0
10676017;0;0;1;0;0
10676162;0;0;1;0;0
10676212;0;0;0;1;0
10676600;0;0;0;1;0
10676967;0;1;0;0;0
10676999;0;1;0;0;0
10677082;0;0,2;0;0,8;0
10677116;0;0;0;1;0
10677177;0;0;0,25;0;0,75
10677492;0;0;0;1;0
10677599;0;0;0;0;1
10677605;0;0;0;1;0
10677662;0;0,44;0;0,56;0
10677686;0;0,5;0;0,5;0
10677760;0;0;0,78;0,11;0,11
10677880;0;0;1;0;0
10678051;0;0;1;0;0
10678285;0;0;1;0;0
10678387;0;0;0,2;0;0,8
10678400;0;0;0,44;0;0,56
10678570;0;0;0,33;0,33;0,33
10678966;0;0;0;0,5;0,5
10678996;0;0,25;0;0,75;0
10679027;0;0;0,25;0,75;0
10679157;0;0;0;0;1
10679255;0;0,17;0,67;0,17;0
10679385;0;0;0;0,33;0,67
10679468;0;0;0;1;0
10679583;0;0;0;0;1
10679702;0;0,03;0,14;0,51;0,32
10679861;0;0;0;1;0
10680137;0;0,11;0;0,89;0
10680373;0;0;0;1;0
10681292;0;0;0;1;0
10681636;0;0;0;1;0
10681761;0;0;0;1;0
10683283;0;0;0,11;0,58;0,32
10683376;0;0;0;1;0
10684109;0;0;0;0;1
10684168;0;0;0;0;1
10684248;0;0,6;0;0,4;0
10684440;0;0;0;0;1
10684584;0;0;0,31;0,62;0,08
10684738;0;0;0,33;0,67;0
10685488;0;0;1;0;0
10685635;0,5;0;0;0,5;0
10685761;0;0,08;0,17;0,42;0,33
10686042;0;0;0;0,07;0,93
10686102;0;0;0;0;1
10686286;0;0;0,46;0;0,54
10686368;0;0;0;0;1
10686554;0;0;0;1;0
10687061;0;0,23;0;0,77;0
10687292;0;0;1;0;0
10687555;0;0,12;0,09;0,79;0
10687642;0;0;0;0;1
10688006;0;0,12;0;0,88;0
10688120;0;0,05;0;0,62;0,32
10688177;0;0;0;1;0
10688476;0;0;0,67;0,33;0
10688479;0;0;0;1;0
10688498;0;0;0;1;0
10688592;0;0;0;0,91;0,09
10688640;0;0,33;0;0,67;0
10688667;0;0;0,25;0;0,75
10688708;0;0;0;1;0
10688755;0;0;0;1;0
10688868;0;0,04;0;0,96;0
10689506;0;0,5;0;0;0,5
10689854;0;0;0;0;1
10689900;0;0;1;0;0
10690047;0;0;1;0;0
10690094;0;0,29;0;0,71;0
10690138;0;0;0,2;0;0,8
10690310;0;0;0;0,86;0,14
10690675;0;0;0;1;0
10690790;0;0;0,1;0,5;0,4
10690872;0;0;0;0;1
10690945;0;0;0;1;0
10691095;0;1;0;0;0
10691347;0;0;1;0;0
10691522;0;0;0;1;0
10692548;0;0;0;1;0
10692561;0;0;1;0;0
10692747;0;0;1;0;0
10693170;0;0;0;0;1
10693280;0;0;0;1;0
10693785;0;1;0;0;0
10693925;0;0;0;0;1
10694749;0;0;1;0;0
10694770;0;0;1;0;0
10695232;0;0;0;1;0
10695236;0;0,67;0;0,33;0
10695538;0;0;0;1;0
10695554;0;0;1;0;0
10695820;0;0,25;0,25;0,25;0,25
10695869;0;0;0;1;0
10695965;0;1;0;0;0
10696296;0;0;0;0;1
10696368;0;0;0;0;1
10697183;0;0;0;0;1
10697268;0;0;0;1;0
10697620;0;0;0,14;0,79;0,07
10697674;0;0;0;1;0
10697961;0;0;0;0;1
10698664;0;0;0,5;0,5;0
10698819;0;0;0;1;0
10698830;0;0;0;1;0
10698974;0;0;0;1;0
10699526;0;0;0;1;0
10699566;0;0;0,2;0,8;0
10699673;0;0,4;0,1;0,1;0,4
10699727;0;1;0;0;0
10699865;0;0;1;0;0
10699977;0;1;0;0;0
10700469;0;0;0;1;0
10700527;0;0;0;1;0
10700546;0;0;1;0;0
10700555;0;0;1;0;0
10701008;0;0;0;1;0
10701196;0;0;0,34;0,24;0,41
